DateTime,AddedIPs,RemovedIPs
1538106751,2,4
1538108662,6,2
1538110592,1,8
1538112503,9,2
1538114471,3,6
1538116493,4,5
1538118511,5,7
1538120666,4,2
1538122609,3,3
1538124506,8,5
1538126442,8,6
1538128347,6,3
1538130262,14,7
1538132198,14,7
1538134105,4,4
1538136109,6,9
1538137964,4,3
1538139883,6,5
1538141792,7,2
1538143709,3,4
1538145620,7,3
1538147550,4,3
1538149466,8,6
1538151403,12,5
1538153301,11,5
1538155226,6,2
1538157144,8,6
1538159063,5,3
1538160989,10,36
1538162899,11,1
1538164888,10,6
1538166757,13,2
1538168673,8,4
1538170597,10,10
1538172516,7,2
1538174444,6,2
1538176748,7,3
1538178754,7,1
1538180664,8,4
1538182595,5,3
1538184490,4,3
1538186460,5,8
1538188354,7,3
1538190263,2,6
1538192193,3,2
1538194132,1,2
1538196024,3,1
1538197962,3,3
1538199861,6,3
1538201798,3,2
1538203699,6,3
1538205618,6,4
1538207540,3,1
1538209465,3,1
1538211388,9,4
1538213293,4,8
1538215291,4,13
1538217155,1,5
1538219322,1,12
1538221234,4,2
1538223140,5,5
1538225070,2,5
1538226990,2,4
1538228905,3,5
1538230829,4,2
1538232757,8,4
1538234664,3,4
1538236573,4,61
1538238489,5,19
1538241394,9,13
1538243312,10,6
1538245229,6,6
1538247152,5,7
1538249066,7,8
1538250991,2,11
1538252889,5,14
1538254841,4,4
1538256755,5,9
1538258663,6,3
1538260590,8,6
1538262514,6,5
1538264429,6,321
1538266356,6,9
1538268252,6,4
1538270187,3,5
1538272093,4,4
1538274033,4,8
1538275939,7,4
1538277867,6,4
1538279768,8,0
1538281790,7,3
1538283632,2,2
1538285540,5,5
1538287475,3,4
1538289369,3,2
1538291329,3,2
1538293244,9,4
1538295146,2,5
1538297072,7,6
1538298986,7,9
1538300914,8,3
1538302817,3,5
1538304738,4,0
1538306657,2,5
1538308883,4,6
1538310746,4,3
1538312697,3,4
1538314577,4,1
1538316501,258,6
1538318425,4,3
1538320344,2,5
1538322263,2,6
1538324191,4,6
1538326105,4,10
1538328021,3,6
1538329937,135,8
1538331865,1,7
1538333790,6,3
1538335697,2,5
1538338604,9,7
1538340500,10,3
1538342418,6,2
1538344337,2,6
1538346260,12,5
1538348188,2,7
1538350100,7,5
1538352066,2,6
1538353942,7,9
1538355884,3,4
1538357775,3,4
1538359700,7,3
1538361682,8,5
1538363549,7,6
1538365477,10,7
1538367553,6,7
1538369548,5,3
1538371942,7,6
1538373878,9,4
1538375789,6,5
1538377720,5,0
1538379610,3,8
1538381555,1,2
1538383453,5,7
1538385401,4,6
1538387292,3,6
1538389231,6,6
1538391157,2,5
1538393178,2,1
1538395291,11,3
1538397144,4,6
1538399101,5,4
1538401005,2,2
1538402901,6,180
1538404834,4,2
1538406765,4,2
1538408667,4,3
1538410595,6,4
1538412505,2,3
1538414418,3,21
1538416344,7,5
1538418261,2,4
1538420183,3,5
1538422106,5,3
1538424090,12,8
1538425947,7,6
1538427875,5,5
1538430025,3,31
1538431947,3,3
1538433860,3,9
1538435803,8,1
1538437702,7,6
1538439617,3,3
1538441539,4,6
1538443471,2,3
1538445385,2,1
1538447771,5,11
1538449723,7,5
1538451636,8,9
1538453556,5,7
1538455699,5,4
1538457636,5,4
1538459536,6,2
1538461473,6,6
1538463372,188,2
1538465291,209,2
1538467271,63,2
1538469400,11,3
1538471329,3,3
1538473217,10,31
1538475157,11,136
1538477081,9,6
1538478977,8,1
1538480928,1,5
1538483080,9,8
1538484990,5,6
1538486889,2,4
1538488856,5,7
1538490744,6,4
1538492676,8,9
1538494595,7,3
1538496549,3,3
1538498433,1,2
1538500359,2,3
1538502274,7,3
1538504187,3,7
1538506104,4,31
1538508023,6,4
1538509943,5,3
1538511850,6,7
1538514991,39,2
1538516909,8,2
1538518841,7,2
1538520739,4,4
1538522674,4,5
1538524603,6,4
1538526495,6,1
1538528477,1,4
1538530348,3,3
1538532290,2,0
1538534427,5,5
1538536333,6,4
1538538251,7,6
1538540201,6,4
1538542254,4,3
1538544264,2,3
1538546202,0,4
1538548121,4,7
1538550993,8,98
1538552916,4,67
1538554828,2,55
1538556757,3,52
1538558674,7,58
1538560597,3,59
1538562497,2,59
1538564467,3,41
1538566368,6,3
1538568338,3,3
1538570437,11,4
1538572337,5,1
1538574277,8,3
1538576180,6,9
1538578100,7,4
1538580028,4,6
1538581956,4,3
1538583869,7,2
1538585801,4,3
1538587693,6,2
1538589670,6,86
1538591547,2,3
1538593492,5,7
1538595367,6,6
1538597310,3,4
1538599472,8,7
1538601404,6,37
1538603303,7,9
1538605219,6,8
1538607137,3,3
