DateTime,AddedIPs,RemovedIPs
1538106755,2,9
1538108675,6,3
1538110595,9,4
1538112528,6,7
1538114496,2,3
1538116497,3,5
1538118515,18,7
1538120670,20,9
1538122612,5,7
1538124521,4,2
1538126447,4,11
1538128351,4,7
1538130265,6,4
1538132203,7,5
1538134115,9,7
1538136117,6,7
1538137967,4,5
1538139916,4,10
1538141796,6,6
1538143713,5,12
1538145624,5,8
1538147554,8,4
1538149471,6,7
1538151406,6,8
1538153306,7,3
1538155239,5,4
1538157148,10,2
1538159068,5,4
1538160992,3,7
1538162912,5,6
1538164897,2,11
1538166761,5,4
1538168731,7,3
1538170600,3,6
1538172520,2,5
1538174448,7,5
1538176753,10,6
1538178758,5,2
1538180669,15,8
1538182599,14,4
1538184494,7,10
1538186508,12,4
1538188358,8,5
1538190267,6,8
1538192206,7,3
1538194136,11,4
1538196028,10,10
1538197966,8,6
1538199866,12,4
1538201802,10,0
1538203704,7,19
1538205622,3,22
1538207544,9,5
1538209469,15,1
1538211393,7,6
1538213297,10,4
1538215323,13,6
1538217159,5,5
1538219327,9,9
1538221238,6,8
1538223144,9,5
1538225074,6,3
1538226994,10,4
1538228910,11,5
1538230833,11,8
1538232767,6,6
1538234668,10,5
1538236578,8,4
1538238502,9,7
1538241398,24,7
1538243323,5,9
1538245234,5,6
1538247156,6,6
1538249070,4,4
1538250995,8,3
1538252902,10,6
1538254897,11,5
1538256760,9,3
1538258668,3,1
1538260594,5,4
1538262521,8,7
1538264434,11,6
1538266362,4,8
1538268257,10,15
1538270192,5,9
1538272097,6,9
1538274038,4,10
1538275944,10,5
1538277875,3,7
1538279772,5,7
1538281795,8,9
1538283702,8,8
1538285545,6,8
1538287480,9,11
1538289373,8,9
1538291340,6,5
1538293249,6,3
1538295150,4,11
1538297085,6,11
1538298999,6,6
1538300918,10,10
1538302821,5,9
1538304742,5,9
1538306661,4,6
1538308906,7,8
1538310759,3,10
1538312713,8,9
1538314581,4,7
1538316505,5,8
1538318430,3,8
1538320348,6,7
1538322268,8,12
1538324195,5,9
1538326109,4,13
1538328026,6,16
1538329941,7,4
1538331869,7,6
1538333803,7,8
1538335702,6,3
1538337676,3,7
1538339546,4,12
1538341467,4,10
1538343401,7,10
1538345315,1,2
1538347225,5,7
1538349142,9,10
1538351083,2,11
1538352988,4,7
1538354907,4,10
1538356819,3,5
1538358749,7,5
1538360673,5,5
1538362577,2,9
1538364500,5,4
1538366488,0,4
1538368340,16,8
1538370306,6,9
1538372454,6,7
1538374367,8,13
1538376279,4,8
1538378194,2,6
1538380120,9,9
1538382022,3,6
1538383948,1,7
1538385860,4,9
1538387804,6,11
1538389709,6,6
1538391671,3,5
1538393546,4,4
1538395725,3,5
1538397634,0,4
1538399562,4,3
1538401464,0,6
1538403411,1,6
1538405303,3,6
1538407239,5,0
1538409158,2,10
1538411072,4,4
1538412974,0,4
1538414918,6,5
1538416891,4,5
1538418764,7,4
1538420692,3,7
1538422599,3,6
1538424522,4,1
1538426445,6,2
1538428615,3,5
1538430520,4,7
1538432411,8,3
1538434366,5,5
1538436278,2,6
1538438193,3,4
1538440101,3,4
1538442091,6,4
1538443952,2,6
1538445875,2,3
1538447780,1,4
1538449743,7,8
1538451641,6,1
1538453561,3,15
1538455704,4,5
1538457647,3,4
1538459541,0,9
1538461478,4,5
1538463377,5,2
1538465301,4,5
1538467306,2,7
1538469405,3,3
1538471335,2,0
1538473221,0,11
1538475171,8,2
1538477086,1,9
1538478981,3,6
1538480933,4,4
1538483084,3,0
1538484994,2,3
1538486893,0,1
1538488902,1,2
1538490748,2,3
1538492724,2,3
1538494599,1,4
1538496553,5,5
1538498437,3,2
1538500373,2,2
1538502280,3,5
1538504191,2,9
1538506108,5,1
1538508035,7,8
1538509947,2,3
1538511860,4,8
1538514078,1,1
1538515947,2,3
1538517876,4,10
1538519776,3,5
1538521726,4,4
1538523641,2,5
1538527458,5,6
1538529389,2,3
1538531313,3,3
1538533232,1,2
1538535152,4,3
1538537073,1,5
1538538980,3,5
1538540900,6,2
1538543122,1,4
1538547188,2,3
1538549082,5,5
1538550996,3,3
1538552918,2,3
1538554831,3,2
1538556760,2,2
1538558686,0,2
1538560600,19,4
1538562500,1,5
1538564484,0,3
1538566379,7,4
1538568345,5,1
1538570440,3,6
1538572340,2,1
1538574290,7,0
1538576183,2,1
1538578103,3,2
1538580032,7,2
1538581959,3,3
1538583872,6,4
1538585804,3,2
1538587696,4,1
1538589689,2,5
1538591554,1,3
1538593522,10,7
1538595378,6,5
1538597312,6,3
1538599475,1,3
1538601406,3,2
1538603306,5,3
1538605223,5,0
1538607148,4,5
1538609076,4,5
1538610986,4,1
1538612905,2,3
1538615070,4,2
1538616984,4,1
1538618912,4,5
1538620827,3,1
1538622744,3,1
1538624686,3,0
1538626594,2,8
1538628505,7,2
1538630413,0,1
1538632328,2,1
1538634268,10,3
1538636202,4,3
1538638115,5,6
1538640084,4,1
1538641960,5,4
1538643865,3,2
1538645800,2,0
1538647725,1,18
1538649642,4,0
1538651570,5,1
1538653477,7,7
1538655669,4,4
1538657548,5,3
1538659478,5,1
1538661414,2,7
1538663293,2,3
1538665283,4,4
1538667163,2,2
1538669086,3,1
1538671002,5,7
1538672931,6,4
1538674835,4,3
1538676742,2,3
1538678691,4,4
1538680592,7,7
1538682522,6,4
1538684443,4,5
1538686336,0,1
1538688275,3,4
1538690195,3,5
1538692118,3,3
1538694099,5,6
1538695950,6,4
1538697926,4,3
1538699775,3,3
1538701717,2,3
1538703873,7,5
1538705802,3,3
1538707732,3,4
1538709633,4,1
1538711552,3,3
1538713510,2,3
1538715387,2,5
1538717319,8,1
1538719284,5,4
1538721153,3,9
1538723113,1,5
1538724971,4,5
1538726928,5,6
1538728818,5,6
1538730998,3,2
1538732905,2,2
1538734836,4,0
1538736753,4,4
1538738667,4,8
1538740591,4,6
1538742523,0,5
1538744500,3,6
1538746354,4,7
1538748317,3,3
