DateTime,AddedIPs,RemovedIPs
1537761718,1,0
1537763560,1,2
1537765481,2,0
1537767411,0,1
1537771247,0,1
1537773158,0,2
1537777017,1,0
1537778911,2,2
1537780832,1,0
1537782860,3,0
1537784681,0,1
1537786609,1,2
1537788530,0,1
1537790508,0,1
1537792372,0,1
1537794321,0,2
1537796215,0,1
1537798136,1,3
1537800124,1,2
1537801973,2,1
1537803870,0,1
1537805825,2,0
1537807713,3,1
1537809883,2,0
1537811805,0,1
1537813955,0,4
1537815911,2,2
1537817814,3,0
1537819738,2,1
1537821652,1,2
1537825480,1,1
1537829310,0,2
1537831233,0,1
1537835086,3,1
1537837008,1,1
1537838903,0,1
1537840943,0,1
1537842783,1,1
1537844703,1,1
1537846585,0,2
1537848541,1,1
1537850467,0,2
1537852354,0,2
1537854269,3,0
1537863889,1,1
1537865796,2,2
1537867724,0,1
1537869711,0,2
1537871817,2,0
1537873727,1,1
1537875647,0,1
1537877587,1,0
1537879471,1,0
1537881420,2,0
1537883334,1,1
1537885253,0,1
1537887158,1,0
1537889302,3,1
1537891514,1,1
1537893411,1,4
1537895341,0,2
1537901076,3,0
1537903012,2,2
1537904936,1,2
1537906856,1,1
1537910686,2,0
1537912613,0,1
1537916505,1,0
1537918383,1,0
1537920290,0,2
1537922211,0,2
1537924140,1,0
1537926044,2,0
1537927974,0,1
1537931808,0,1
1537935659,1,1
1537939494,2,2
1537941408,0,1
1537943346,1,0
1537947170,1,0
1537949136,0,1
1537951012,0,2
1537952939,0,1
1537958916,1,3
1537960864,1,0
1537963001,3,1
1537964917,1,0
1537966907,1,2
1537968773,0,2
1537970727,1,0
1537972589,0,1
1537974546,1,1
1537976451,1,2
1537978412,1,2
1537980307,2,0
1537982216,2,0
1537984108,1,0
1537986059,1,0
1537987978,2,4
1537989900,0,1
1537991848,0,2
1537995814,1,1
1537998048,0,1
1538003825,0,1
1538005715,0,1
1538011478,1,2
1538017307,2,0
1538021096,0,1
1538023019,2,1
1538024933,1,1
1538026841,0,1
1538028790,0,1
1538034789,0,1
1538036685,1,1
1538038598,1,0
1538044474,1,0
1538046341,0,1
1538048205,1,3
1538052052,0,1
1538053963,0,1
1538055882,3,0
1538057825,0,1
1538059721,2,0
1538061804,0,1
1538063782,0,1
1538065963,4,3
1538067881,2,2
1538069809,4,1
1538071727,1,0
1538073637,2,3
1538075587,0,1
1538079406,3,0
1538081328,0,1
1538085156,2,1
1538087094,4,0
1538092934,1,0
1538099101,1,1
1538102933,461,2
1538104838,22,0
1538108713,1,2
1538110604,0,1
1538112562,1,0
1538116506,1,0
1538118524,3,0
1538120679,1,1
1538124532,0,1
1538126464,1,0
1538130296,1,0
1538132229,1,1
1538136127,0,1
1538139926,1,0
1538141805,1,2
1538143722,1,1
1538147563,0,2
1538149479,1,0
1538151438,0,2
1538153314,0,2
1538155255,0,4
1538157157,1,2
1538159077,0,2
1538161001,0,1
1538162923,4,0
1538164910,1,2
1538170609,1,0
1538172530,2,2
1538174457,1,4
1538176765,1,0
1538178776,0,1
1538190278,1,482
1538196038,0,2
1538199875,0,1
1538201812,2,0
1538203713,1,4
1538205637,0,1
1538207554,0,1
1538209488,1,0
1538211414,0,1
1538213306,0,1
1538215344,1,0
1538217175,0,1
1538219337,2,1
1538225100,2,0
1538227018,1,1
1538228925,1,2
1538230849,1,0
1538234682,0,1
1538236600,2,0
1538244332,0,1
1538246202,2,0
1538248121,0,2
1538250038,0,2
1538251961,1,1
1538253869,2,0
1538255805,4,1
1538257719,1,1
1538259640,0,3
1538261579,0,2
1538263479,0,1
1538267305,2,0
1538269288,1,0
1538274980,2,0
1538276927,3,1
1538288454,0,2
1538290360,0,1
1538294198,0,1
1538299946,0,1
1538305817,0,2
1538307650,2,0
1538309800,0,1
1538311705,0,1
1538313639,1,1
1538315557,1,1
1538317475,0,1
1538321303,0,1
1538323286,0,1
1538325166,1,0
1538328995,3,0
1538330927,2,0
1538332831,0,1
1538334744,1,0
1538336668,1,0
1538338631,0,1
1538340523,1,2
1538342438,2,5
1538344348,1,0
1538346270,1,1
1538348198,1,0
1538350116,1,0
1538353952,1,2
1538355902,1,1
1538357786,1,1
1538361705,1,2
1538363561,0,3
1538369574,2,0
1538371953,1,0
1538375800,1,0
1538377731,1,0
1538379621,1,1
1538383464,1,0
1538385420,1,0
1538387302,1,0
1538389271,2,0
1538393188,3,1
1538395319,1,0
1538397162,1,0
1538401016,0,1
1538410614,0,1
1538412516,2,0
1538414428,0,1
1538416364,0,3
1538418271,1,2
1538420194,0,1
1538422138,0,1
1538425966,2,1
1538427969,0,2
1538431959,1,1
1538433889,1,1
1538435815,1,0
1538437719,2,0
1538439654,1,0
1538441559,2,0
1538443490,0,2
1538445396,2,1
1538447799,1,2
1538449751,1,0
1538455713,0,1
1538457665,1,2
1538461502,0,1
1538463386,2,0
1538465311,2,2
1538467315,1,1
1538469413,0,1
1538471344,1,2
1538473248,0,1
1538475180,0,1
1538477104,2,0
1538478990,0,1
1538480941,2,4
1538483094,0,1
1538486901,0,1
1538492735,1,0
1538498447,2,2
1538500383,3,0
1538504209,0,1
1538506134,1,0
1538511869,1,1
1538514102,1,1
1538515955,1,0
1538519784,0,1
1538521743,1,1
1538523652,0,1
1538525572,0,2
1538527476,2,1
1538529421,0,1
1538531330,0,2
1538537082,1,0
1538540917,1,0
1538543134,0,1
1538549090,0,2
1538551004,2,2
1538552926,1,0
1538554846,2,1
1538558695,0,1
1538560608,1,0
1538562512,0,2
1538564506,2,0
1538566402,1,2
1538578111,1,1
1538581974,1,0
1538583884,1,2
1538585813,0,2
1538587713,1,1
1538591565,1,0
1538593545,0,1
1538595386,1,0
1538597321,1,1
1538599484,0,1
1538601415,1,1
1538603314,1,0
1538607160,1,0
1538609085,3,1
1538610994,1,0
1538612920,0,1
1538615103,0,1
1538622752,1,0
1538624694,0,1
1538626602,0,1
1538628513,1,0
1538634276,0,1
1538636210,3,0
1538638123,2,2
